County,Population,Rank
KANAWHA,180454,1
BERKELEY,117123,2
MONONGALIA,106420,3
CABELL,93224,4
WOOD,84203,5
RALEIGH,74254,6
HARRISON,67554,7
MERCER,59131,8
JEFFERSON,56811,9
PUTNAM,56682,10
MARION,56097,11
FAYETTE,43018,12
OHIO,41755,13
WAYNE,39944,14
GREENBRIER,34786,15
PRESTON,33839,16
LOGAN,32607,17
MARSHALL,30785,18
HANCOCK,29094,19
RANDOLPH,28823,20
JACKSON,28706,21
MINERAL,26940,22
MASON,26718,23
NICHOLAS,24842,24
UPSHUR,24415,25
MINGO,23785,26
HAMPSHIRE,23347,27
BROOKE,22203,28
BOONE,21951,29
WYOMING,20786,30
LINCOLN,20599,31
MCDOWELL,18223,32
MORGAN,17787,33
TAYLOR,16862,34
BARBOUR,16535,35
LEWIS,16024,36
WETZEL,15270,37
BRAXTON,14089,38
ROANE,13932,39
HARDY,13775,40
MONROE,13280,41
SUMMERS,12760,42
GRANT,11626,43
RITCHIE,9721,44
TYLER,8746,45
CLAY,8632,46
POCAHONTAS,8414,47
DODDRIDGE,8406,48
WEBSTER,8285,49
GILMER,8026,50
PLEASANTS,7507,51
CALHOUN,7254,52
PENDLETON,6997,53
TUCKER,6955,54
WIRT,5830,55
